date_rec|state|p_pos|positive_daily_cases_cvt|negative_daily_cases_cvt|pending_daily_cases_cvt|p_pend|total_daily_cases_cvt
2020-03-23|AK|2.27|22|946|NA|NA|968
2020-03-24|AK|3.52|36|986|NA|NA|1022
2020-03-25|AK|2.48|42|1649|NA|NA|1691
2020-03-26|AK|3.17|59|1801|NA|NA|1860
2020-03-27|AK|2.87|69|2319|13|0.54|2401
2020-03-28|AK|2.91|85|2836|NA|NA|2921
2020-03-29|AK|3.06|102|3232|NA|NA|3334
2020-03-30|AK|3.12|114|3540|NA|NA|3654
2020-03-31|AK|3.2|119|3594|NA|NA|3713
2020-04-01|AK|2.89|133|4470|NA|NA|4603
2020-04-02|AK|2.85|143|4879|NA|NA|5022
2020-04-03|AK|2.61|157|5859|NA|NA|6016
2020-04-04|AK|2.83|171|5869|NA|NA|6040
2020-04-05|AK|2.94|185|6099|NA|NA|6284
2020-04-06|AK|2.77|191|6692|NA|NA|6883
2020-04-07|AK|3.08|213|6700|NA|NA|6913
2020-04-08|AK|3.2|226|6842|NA|NA|7068
2020-04-09|AK|3.25|235|6988|NA|NA|7223
2020-04-10|AK|3.31|246|7186|NA|NA|7432
2020-04-11|AK|3.32|257|7475|NA|NA|7732
2020-04-12|AK|3.38|272|7766|NA|NA|8038
2020-04-13|AK|3.54|277|7553|NA|NA|7830
2020-04-14|AK|3.41|285|8063|NA|NA|8348
2020-04-15|AK|3.38|293|8371|NA|NA|8664
2020-04-16|AK|3.43|300|8435|NA|NA|8735
2020-04-17|AK|3.27|309|9141|NA|NA|9450
2020-04-18|AK|3.25|314|9341|NA|NA|9655
2020-04-19|AK|3.22|319|9576|NA|NA|9895
2020-04-20|AK|3.17|321|9803|NA|NA|10124
2020-04-21|AK|2.96|329|10790|NA|NA|11119
2020-04-22|AK|2.76|335|11824|NA|NA|12159
2020-04-23|AK|2.77|337|11824|NA|NA|12161
2020-04-24|AK|2.76|339|11942|NA|NA|12281
2020-04-25|AK|2.15|339|15393|NA|NA|15732
2020-04-26|AK|2.11|341|15836|NA|NA|16177
2020-04-27|AK|2.12|345|15911|NA|NA|16256
2020-04-28|AK|2.05|351|16738|NA|NA|17089
2020-04-29|AK|1.86|355|18764|NA|NA|19119
2020-04-30|AK|1.86|355|18764|NA|NA|19119
2020-05-01|AK|1.79|364|19961|NA|NA|20325
2020-05-02|AK|1.71|365|21034|NA|NA|21399
2020-05-03|AK|1.71|368|21210|NA|NA|21578
2020-05-04|AK|1.7|370|21353|NA|NA|21723
2020-05-05|AK|1.63|371|22321|NA|NA|22692
2020-05-06|AK|1.57|372|23283|NA|NA|23655
2020-05-07|AK|1.54|374|23967|NA|NA|24341
2020-05-08|AK|1.48|377|25096|NA|NA|25473
2020-05-09|AK|1.43|378|26071|NA|NA|26449
2020-05-10|AK|1.39|379|26985|NA|NA|27364
2020-05-11|AK|1.33|381|28299|NA|NA|28680
2020-05-12|AK|1.28|383|29578|NA|NA|29961
