ethnicity|race|confirmed_cases|deaths|logcfr_agg
Hispanic/Latino|African-American/Black|219|7|1.6780719051126378
Hispanic/Latino|Other|4231|55|0.37851162325372983
Hispanic/Latino|Unknown|2035|3|-2.736965594166206
Hispanic/Latino|White|6186|72|0.21412480535284734
Non-Hispanic/Latino|African-American/Black|19020|1304|2.7782085763980877
Non-Hispanic/Latino|American Indian/Alaska Native|47|3|2.673556423990145
Non-Hispanic/Latino|Asian|899|44|2.289834465177509
Non-Hispanic/Latino|Native Hawaiian/Pacific Islander|40|5|3.643856189774725
Non-Hispanic/Latino|Other|836|8|-0.058893689053568565
Non-Hispanic/Latino|White|17173|1253|2.867896463992655
Unknown|African-American/Black|3178|9|-1.8365012677171204
Unknown|Other|909|2|-2.1844245711374275
Unknown|Unknown|20972|15|-3.8365012677171206
Unknown|White|2744|4|-2.736965594166206
