date|county|state|fips|cases|deaths|date_rec
2020-03-01|Manatee|Florida|12081|1|0|2020-03-01
2020-03-02|Manatee|Florida|12081|1|0|2020-03-02
2020-03-03|Manatee|Florida|12081|1|0|2020-03-03
2020-03-04|Manatee|Florida|12081|1|0|2020-03-04
2020-03-05|Manatee|Florida|12081|1|0|2020-03-05
2020-03-06|Manatee|Florida|12081|1|0|2020-03-06
2020-03-07|Manatee|Florida|12081|2|0|2020-03-07
2020-03-08|Manatee|Florida|12081|2|0|2020-03-08
2020-03-09|Manatee|Florida|12081|2|0|2020-03-09
2020-03-10|Manatee|Florida|12081|2|0|2020-03-10
2020-03-11|Manatee|Florida|12081|2|0|2020-03-11
2020-03-12|Manatee|Florida|12081|2|0|2020-03-12
2020-03-13|Manatee|Florida|12081|4|0|2020-03-13
2020-03-14|Manatee|Florida|12081|4|0|2020-03-14
2020-03-15|Manatee|Florida|12081|4|0|2020-03-15
2020-03-16|Manatee|Florida|12081|5|0|2020-03-16
2020-03-17|Manatee|Florida|12081|7|1|2020-03-17
2020-03-18|Manatee|Florida|12081|8|1|2020-03-18
2020-03-19|Manatee|Florida|12081|9|1|2020-03-19
2020-03-20|Manatee|Florida|12081|10|1|2020-03-20
2020-03-21|Manatee|Florida|12081|13|1|2020-03-21
2020-03-22|Manatee|Florida|12081|13|1|2020-03-22
2020-03-23|Manatee|Florida|12081|15|1|2020-03-23
2020-03-24|Manatee|Florida|12081|16|1|2020-03-24
2020-03-25|Manatee|Florida|12081|26|1|2020-03-25
2020-03-26|Manatee|Florida|12081|25|1|2020-03-26
2020-03-27|Manatee|Florida|12081|29|1|2020-03-27
2020-03-28|Manatee|Florida|12081|32|1|2020-03-28
2020-03-29|Manatee|Florida|12081|38|1|2020-03-29
2020-03-30|Manatee|Florida|12081|42|1|2020-03-30
2020-03-31|Manatee|Florida|12081|53|2|2020-03-31
2020-04-01|Manatee|Florida|12081|70|3|2020-04-01
2020-04-02|Manatee|Florida|12081|89|3|2020-04-02
2020-04-03|Manatee|Florida|12081|104|3|2020-04-03
2020-04-04|Manatee|Florida|12081|129|3|2020-04-04
2020-04-05|Manatee|Florida|12081|136|3|2020-04-05
2020-04-06|Manatee|Florida|12081|145|5|2020-04-06
2020-04-07|Manatee|Florida|12081|164|7|2020-04-07
2020-04-08|Manatee|Florida|12081|172|8|2020-04-08
2020-04-09|Manatee|Florida|12081|179|11|2020-04-09
2020-04-10|Manatee|Florida|12081|200|13|2020-04-10
2020-04-11|Manatee|Florida|12081|221|13|2020-04-11
2020-04-12|Manatee|Florida|12081|236|13|2020-04-12
2020-04-13|Manatee|Florida|12081|252|15|2020-04-13
2020-04-14|Manatee|Florida|12081|261|19|2020-04-14
2020-04-15|Manatee|Florida|12081|277|19|2020-04-15
2020-04-16|Manatee|Florida|12081|309|20|2020-04-16
2020-04-17|Manatee|Florida|12081|326|29|2020-04-17
2020-04-18|Manatee|Florida|12081|362|31|2020-04-18
2020-04-19|Manatee|Florida|12081|417|31|2020-04-19
2020-04-20|Manatee|Florida|12081|433|33|2020-04-20
2020-04-21|Manatee|Florida|12081|443|34|2020-04-21
2020-04-22|Manatee|Florida|12081|445|34|2020-04-22
2020-04-23|Manatee|Florida|12081|473|39|2020-04-23
2020-04-24|Manatee|Florida|12081|491|42|2020-04-24
2020-04-25|Manatee|Florida|12081|497|42|2020-04-25
2020-04-26|Manatee|Florida|12081|508|42|2020-04-26
2020-04-27|Manatee|Florida|12081|533|42|2020-04-27
2020-04-28|Manatee|Florida|12081|563|46|2020-04-28
2020-04-29|Manatee|Florida|12081|567|49|2020-04-29
2020-04-30|Manatee|Florida|12081|580|55|2020-04-30
2020-05-01|Manatee|Florida|12081|591|57|2020-05-01
2020-05-02|Manatee|Florida|12081|607|59|2020-05-02
2020-05-03|Manatee|Florida|12081|619|59|2020-05-03
2020-05-04|Manatee|Florida|12081|636|59|2020-05-04
2020-05-05|Manatee|Florida|12081|684|61|2020-05-05
2020-05-06|Manatee|Florida|12081|722|64|2020-05-06
2020-05-07|Manatee|Florida|12081|737|68|2020-05-07
2020-05-08|Manatee|Florida|12081|742|72|2020-05-08
2020-05-09|Manatee|Florida|12081|756|74|2020-05-09
2020-05-10|Manatee|Florida|12081|776|74|2020-05-10
2020-05-11|Manatee|Florida|12081|783|74|2020-05-11
2020-05-12|Manatee|Florida|12081|795|74|2020-05-12
2020-05-13|Manatee|Florida|12081|806|75|2020-05-13
2020-05-14|Manatee|Florida|12081|813|78|2020-05-14
2020-05-15|Manatee|Florida|12081|826|79|2020-05-15
2020-05-16|Manatee|Florida|12081|834|81|2020-05-16
2020-05-17|Manatee|Florida|12081|849|81|2020-05-17
2020-05-18|Manatee|Florida|12081|867|81|2020-05-18
2020-05-19|Manatee|Florida|12081|888|82|2020-05-19
2020-05-20|Manatee|Florida|12081|893|84|2020-05-20
2020-05-21|Manatee|Florida|12081|933|88|2020-05-21
2020-05-22|Manatee|Florida|12081|946|90|2020-05-22
2020-05-23|Manatee|Florida|12081|958|91|2020-05-23
2020-05-24|Manatee|Florida|12081|975|91|2020-05-24
2020-05-25|Manatee|Florida|12081|988|91|2020-05-25
2020-05-26|Manatee|Florida|12081|990|91|2020-05-26
2020-05-27|Manatee|Florida|12081|996|93|2020-05-27
2020-05-28|Manatee|Florida|12081|1007|95|2020-05-28
2020-05-29|Manatee|Florida|12081|1022|96|2020-05-29
2020-05-30|Manatee|Florida|12081|1037|97|2020-05-30
2020-05-31|Manatee|Florida|12081|1045|97|2020-05-31
2020-06-01|Manatee|Florida|12081|1057|97|2020-06-01
2020-06-02|Manatee|Florida|12081|1074|98|2020-06-02
2020-06-03|Manatee|Florida|12081|1110|98|2020-06-03
2020-06-04|Manatee|Florida|12081|1134|100|2020-06-04
2020-06-05|Manatee|Florida|12081|1162|105|2020-06-05
2020-06-06|Manatee|Florida|12081|1177|105|2020-06-06
2020-06-07|Manatee|Florida|12081|1189|105|2020-06-07
2020-06-08|Manatee|Florida|12081|1219|105|2020-06-08
2020-06-09|Manatee|Florida|12081|1229|111|2020-06-09
2020-06-10|Manatee|Florida|12081|1245|112|2020-06-10
2020-06-11|Manatee|Florida|12081|1253|114|2020-06-11
2020-06-12|Manatee|Florida|12081|1309|114|2020-06-12
2020-06-13|Manatee|Florida|12081|1353|115|2020-06-13
2020-06-14|Manatee|Florida|12081|1377|115|2020-06-14
2020-06-15|Manatee|Florida|12081|1421|115|2020-06-15
2020-06-16|Manatee|Florida|12081|1483|116|2020-06-16
2020-06-17|Manatee|Florida|12081|1523|117|2020-06-17
2020-06-18|Manatee|Florida|12081|1548|122|2020-06-18
2020-06-19|Manatee|Florida|12081|1649|124|2020-06-19
2020-06-20|Manatee|Florida|12081|1786|126|2020-06-20
