date_rec|deaths_daily_nyt|positive_daily_cases_nyt|daily_cfr|p_pos|positive_daily_cases_cvt|negative_daily_cases_cvt|pending_daily_cases_cvt|p_pend|total_daily_cases_cvt
2020-03-01|0|2|0|NA|NA|NA|NA|NA|NA
2020-03-02|0|2|0|NA|NA|NA|NA|NA|NA
2020-03-03|0|3|0|NA|NA|NA|NA|NA|NA
2020-03-04|0|3|0|NA|NA|NA|NA|NA|NA
2020-03-05|0|4|0|NA|NA|NA|NA|NA|NA
2020-03-06|2|7|28.57|NA|NA|NA|NA|NA|NA
2020-03-07|2|12|16.67|NA|NA|NA|NA|NA|NA
2020-03-08|2|13|15.38|NA|NA|NA|NA|NA|NA
2020-03-09|2|14|14.29|NA|NA|NA|NA|NA|NA
2020-03-10|2|23|8.7|NA|NA|NA|NA|NA|NA
2020-03-11|2|26|7.69|NA|NA|NA|NA|NA|NA
2020-03-12|2|46|4.35|NA|NA|NA|NA|NA|NA
2020-03-13|2|70|2.86|NA|NA|NA|NA|NA|NA
2020-03-14|3|70|4.29|NA|NA|NA|NA|NA|NA
2020-03-15|3|109|2.75|NA|NA|NA|NA|NA|NA
2020-03-16|4|141|2.84|NA|NA|NA|NA|NA|NA
2020-03-17|6|210|2.86|NA|NA|NA|NA|NA|NA
2020-03-18|7|326|2.15|NA|NA|NA|NA|NA|NA
2020-03-19|8|434|1.84|NA|NA|NA|NA|NA|NA
2020-03-20|9|564|1.6|NA|NA|NA|NA|NA|NA
2020-03-21|11|764|1.44|NA|NA|NA|NA|NA|NA
2020-03-22|13|1000|1.3|NA|NA|NA|NA|NA|NA
2020-03-23|18|1222|1.47|8.94|1171|11063|860|6.57|13094
2020-03-24|20|1467|1.36|9.08|1412|13127|1008|6.48|15547
2020-03-25|23|1971|1.17|9.2|1682|15374|1233|6.74|18289
2020-03-26|29|2478|1.17|8.55|2355|23741|1443|5.24|27539
2020-03-27|46|3198|1.44|8.52|2765|28186|1517|4.67|32468
2020-03-28|56|4038|1.39|9.62|3763|35366|NA|NA|39129
2020-03-29|60|4943|1.21|9.8|4246|39070|NA|NA|43316
2020-03-30|72|5695|1.26|10.19|5473|48225|NA|NA|53698
2020-03-31|85|6742|1.26|10.26|6338|54285|1163|1.88|61786
2020-04-01|100|7769|1.29|10.27|6955|59529|1235|1.82|67719
2020-04-02|144|9000|1.6|10.19|8010|69286|1285|1.64|78581
2020-04-03|169|10260|1.65|10.31|9585|82137|1225|1.32|92947
2020-04-04|194|11537|1.68|10.75|11111|90956|1281|1.24|103348
2020-04-05|220|12342|1.78|10.61|12151|101253|1129|0.99|114533
2020-04-06|253|13621|1.86|10.71|13324|109950|1142|0.92|124416
2020-04-07|295|14739|2|10.57|14747|123415|1407|1.01|139569
2020-04-08|322|15690|2.05|10.7|15455|127679|1324|0.92|144458
2020-04-09|370|16819|2.2|10.63|16364|136185|1395|0.91|153944
2020-04-10|418|17960|2.33|10.67|17531|145299|1411|0.86|164241
2020-04-11|445|18978|2.34|10.61|18494|154439|1418|0.81|174351
2020-04-12|460|19855|2.32|10.52|19355|163398|1297|0.7|184050
2020-04-13|498|21011|2.37|10.4|20601|175606|1789|0.9|197996
2020-04-14|570|21620|2.64|10.45|21367|181813|1275|0.62|204455
2020-04-15|613|22526|2.72|10.48|22511|190998|1335|0.62|214844
2020-04-16|667|23332|2.86|10.38|22897|196351|1325|0.6|220573
2020-04-17|725|24745|2.93|10.21|24119|210718|1285|0.54|236122
2020-04-18|747|25484|2.93|10.25|25269|221258|0|0|246527
2020-04-19|773|26306|2.94|10.11|25996|230083|1179|0.46|257258
2020-04-20|822|27050|3.04|9.97|26660|239565|1104|0.41|267329
2020-04-21|866|27861|3.11|9.88|27495|249564|1203|0.43|278262
2020-04-22|926|28301|3.27|9.77|28309|260318|1258|0.43|289885
2020-04-23|986|29640|3.33|9.67|28832|267876|1301|0.44|298009
2020-04-24|1045|30525|3.42|9.48|30174|286785|1287|0.4|318246
2020-04-25|1054|30831|3.42|9.22|30839|302260|1292|0.39|334391
2020-04-26|1073|31520|3.4|9.12|31528|313085|1183|0.34|345796
2020-04-27|1087|32130|3.38|8.99|32138|324325|1099|0.31|357562
2020-04-28|1170|32838|3.56|8.92|32846|334029|1216|0.33|368091
2020-04-29|1216|33185|3.66|8.86|33193|340295|1252|0.33|374740
