date|county|state|fips|cases|deaths|date_rec|daily_county_cfr
2020-03-07|Gwinnett|Georgia|13135|1|0|2020-03-07|0
2020-03-08|Gwinnett|Georgia|13135|1|0|2020-03-08|0
2020-03-09|Gwinnett|Georgia|13135|2|0|2020-03-09|0
2020-03-10|Gwinnett|Georgia|13135|2|0|2020-03-10|0
2020-03-11|Gwinnett|Georgia|13135|2|0|2020-03-11|0
2020-03-12|Gwinnett|Georgia|13135|2|0|2020-03-12|0
2020-03-13|Gwinnett|Georgia|13135|2|0|2020-03-13|0
2020-03-14|Gwinnett|Georgia|13135|2|0|2020-03-14|0
2020-03-15|Gwinnett|Georgia|13135|4|0|2020-03-15|0
2020-03-16|Gwinnett|Georgia|13135|5|0|2020-03-16|0
2020-03-17|Gwinnett|Georgia|13135|7|0|2020-03-17|0
2020-03-18|Gwinnett|Georgia|13135|7|0|2020-03-18|0
2020-03-19|Gwinnett|Georgia|13135|12|0|2020-03-19|0
2020-03-20|Gwinnett|Georgia|13135|23|1|2020-03-20|4.35
2020-03-21|Gwinnett|Georgia|13135|23|1|2020-03-21|4.35
2020-03-22|Gwinnett|Georgia|13135|27|1|2020-03-22|3.7
2020-03-23|Gwinnett|Georgia|13135|35|1|2020-03-23|2.86
2020-03-24|Gwinnett|Georgia|13135|46|1|2020-03-24|2.17
2020-03-25|Gwinnett|Georgia|13135|69|1|2020-03-25|1.45
2020-03-26|Gwinnett|Georgia|13135|79|1|2020-03-26|1.27
2020-03-27|Gwinnett|Georgia|13135|121|1|2020-03-27|0.83
2020-03-28|Gwinnett|Georgia|13135|131|1|2020-03-28|0.76
2020-03-29|Gwinnett|Georgia|13135|145|1|2020-03-29|0.69
2020-03-30|Gwinnett|Georgia|13135|178|2|2020-03-30|1.12
2020-03-31|Gwinnett|Georgia|13135|242|2|2020-03-31|0.83
2020-04-01|Gwinnett|Georgia|13135|257|6|2020-04-01|2.33
2020-04-02|Gwinnett|Georgia|13135|303|8|2020-04-02|2.64
2020-04-03|Gwinnett|Georgia|13135|353|8|2020-04-03|2.27
2020-04-04|Gwinnett|Georgia|13135|400|8|2020-04-04|2
2020-04-05|Gwinnett|Georgia|13135|410|7|2020-04-05|1.71
2020-04-06|Gwinnett|Georgia|13135|455|10|2020-04-06|2.2
2020-04-07|Gwinnett|Georgia|13135|540|13|2020-04-07|2.41
2020-04-08|Gwinnett|Georgia|13135|586|17|2020-04-08|2.9
2020-04-09|Gwinnett|Georgia|13135|618|17|2020-04-09|2.75
2020-04-10|Gwinnett|Georgia|13135|669|17|2020-04-10|2.54
2020-04-11|Gwinnett|Georgia|13135|681|18|2020-04-11|2.64
2020-04-12|Gwinnett|Georgia|13135|701|19|2020-04-12|2.71
2020-04-13|Gwinnett|Georgia|13135|766|24|2020-04-13|3.13
2020-04-14|Gwinnett|Georgia|13135|815|29|2020-04-14|3.56
2020-04-15|Gwinnett|Georgia|13135|885|32|2020-04-15|3.62
2020-04-16|Gwinnett|Georgia|13135|917|32|2020-04-16|3.49
2020-04-17|Gwinnett|Georgia|13135|1037|36|2020-04-17|3.47
2020-04-18|Gwinnett|Georgia|13135|1059|36|2020-04-18|3.4
2020-04-19|Gwinnett|Georgia|13135|1124|38|2020-04-19|3.38
2020-04-20|Gwinnett|Georgia|13135|1181|42|2020-04-20|3.56
2020-04-21|Gwinnett|Georgia|13135|1238|44|2020-04-21|3.55
2020-04-22|Gwinnett|Georgia|13135|1273|46|2020-04-22|3.61
2020-04-23|Gwinnett|Georgia|13135|1351|46|2020-04-23|3.4
2020-04-24|Gwinnett|Georgia|13135|1382|46|2020-04-24|3.33
2020-04-25|Gwinnett|Georgia|13135|1460|46|2020-04-25|3.15
2020-04-26|Gwinnett|Georgia|13135|1504|47|2020-04-26|3.12
2020-04-27|Gwinnett|Georgia|13135|1545|52|2020-04-27|3.37
2020-04-28|Gwinnett|Georgia|13135|1620|54|2020-04-28|3.33
2020-04-29|Gwinnett|Georgia|13135|1744|55|2020-04-29|3.15
2020-04-30|Gwinnett|Georgia|13135|1793|57|2020-04-30|3.18
2020-05-01|Gwinnett|Georgia|13135|1848|58|2020-05-01|3.14
2020-05-02|Gwinnett|Georgia|13135|1934|58|2020-05-02|3
2020-05-03|Gwinnett|Georgia|13135|1980|58|2020-05-03|2.93
2020-05-04|Gwinnett|Georgia|13135|2057|65|2020-05-04|3.16
2020-05-05|Gwinnett|Georgia|13135|2102|77|2020-05-05|3.66
2020-05-06|Gwinnett|Georgia|13135|2222|81|2020-05-06|3.65
2020-05-07|Gwinnett|Georgia|13135|2254|84|2020-05-07|3.73
2020-05-08|Gwinnett|Georgia|13135|2322|87|2020-05-08|3.75
2020-05-09|Gwinnett|Georgia|13135|2403|87|2020-05-09|3.62
2020-05-10|Gwinnett|Georgia|13135|2447|87|2020-05-10|3.56
2020-05-11|Gwinnett|Georgia|13135|2475|92|2020-05-11|3.72
2020-05-12|Gwinnett|Georgia|13135|2495|101|2020-05-12|4.05
2020-05-13|Gwinnett|Georgia|13135|2510|101|2020-05-13|4.02
2020-05-14|Gwinnett|Georgia|13135|2552|101|2020-05-14|3.96
2020-05-15|Gwinnett|Georgia|13135|2597|101|2020-05-15|3.89
2020-05-16|Gwinnett|Georgia|13135|2597|102|2020-05-16|3.93
2020-05-17|Gwinnett|Georgia|13135|2594|102|2020-05-17|3.93
2020-05-18|Gwinnett|Georgia|13135|2680|105|2020-05-18|3.92
2020-05-19|Gwinnett|Georgia|13135|2771|114|2020-05-19|4.11
2020-05-20|Gwinnett|Georgia|13135|2820|117|2020-05-20|4.15
2020-05-21|Gwinnett|Georgia|13135|2882|121|2020-05-21|4.2
2020-05-22|Gwinnett|Georgia|13135|2961|121|2020-05-22|4.09
2020-05-23|Gwinnett|Georgia|13135|2997|121|2020-05-23|4.04
2020-05-24|Gwinnett|Georgia|13135|3056|122|2020-05-24|3.99
2020-05-25|Gwinnett|Georgia|13135|3198|121|2020-05-25|3.78
2020-05-26|Gwinnett|Georgia|13135|3307|125|2020-05-26|3.78
2020-05-27|Gwinnett|Georgia|13135|3480|126|2020-05-27|3.62
2020-05-28|Gwinnett|Georgia|13135|3619|127|2020-05-28|3.51
2020-05-29|Gwinnett|Georgia|13135|3733|126|2020-05-29|3.38
2020-05-30|Gwinnett|Georgia|13135|3769|127|2020-05-30|3.37
2020-05-31|Gwinnett|Georgia|13135|3780|128|2020-05-31|3.39
2020-06-01|Gwinnett|Georgia|13135|3870|132|2020-06-01|3.41
2020-06-02|Gwinnett|Georgia|13135|3891|133|2020-06-02|3.42
2020-06-03|Gwinnett|Georgia|13135|4063|135|2020-06-03|3.32
2020-06-04|Gwinnett|Georgia|13135|4267|135|2020-06-04|3.16
