date_rec|deaths_daily_nyt|positive_daily_cases_nyt|p_pos|positive_daily_cases_cvt|negative_daily_cases_cvt|pending_daily_cases_cvt|p_pend|total_daily_cases_cvt
2020-03-02|0|2|NA|NA|NA|NA|NA|NA
2020-03-03|0|2|NA|NA|NA|NA|NA|NA
2020-03-04|0|2|NA|NA|NA|NA|NA|NA
2020-03-05|0|2|NA|NA|NA|NA|NA|NA
2020-03-06|0|3|NA|NA|NA|NA|NA|NA
2020-03-07|0|7|NA|NA|NA|NA|NA|NA
2020-03-08|0|11|NA|NA|NA|NA|NA|NA
2020-03-09|0|17|NA|NA|NA|NA|NA|NA
2020-03-10|0|22|NA|NA|NA|NA|NA|NA
2020-03-11|0|31|NA|NA|NA|NA|NA|NA
2020-03-12|1|31|NA|NA|NA|NA|NA|NA
2020-03-13|1|41|NA|NA|NA|NA|NA|NA
2020-03-14|1|65|NA|NA|NA|NA|NA|NA
2020-03-15|1|97|NA|NA|NA|NA|NA|NA
2020-03-16|1|118|NA|NA|NA|NA|NA|NA
2020-03-17|1|142|NA|NA|NA|NA|NA|NA
2020-03-18|3|193|NA|NA|NA|NA|NA|NA
2020-03-19|10|282|NA|NA|NA|NA|NA|NA
2020-03-20|14|482|NA|NA|NA|NA|NA|NA
2020-03-21|20|552|NA|NA|NA|NA|NA|NA
2020-03-22|25|620|NA|NA|NA|NA|NA|NA
2020-03-23|25|800|15.23|772|4297|NA|NA|5069
2020-03-24|39|1096|18.71|1026|4458|NA|NA|5484
2020-03-25|47|1391|20.18|1247|4932|NA|NA|6179
2020-03-26|56|1647|17.08|1525|7401|NA|NA|8926
2020-03-27|64|2211|20.28|2001|7864|NA|NA|9865
2020-03-28|79|2448|21.41|2366|8685|NA|NA|11051
2020-03-29|83|2687|21.1|2651|9913|NA|NA|12564
2020-03-30|105|3032|22.08|2809|9915|NA|NA|12724
2020-03-31|126|4125|24.28|3929|12252|NA|NA|16181
2020-04-01|154|4740|22.82|4638|15688|NA|NA|20326
2020-04-02|176|5444|23.3|5348|17609|NA|NA|22957
2020-04-03|198|5967|23.08|5831|19434|NA|NA|25265
2020-04-04|208|6383|23.43|6160|20134|NA|NA|26294
2020-04-05|219|6742|23.88|6647|21185|NA|NA|27832
2020-04-06|294|7558|23.39|7314|23960|NA|NA|31274
2020-04-07|348|9156|26.16|8818|24895|NA|NA|33713
2020-04-08|370|10204|25.53|9901|28886|NA|NA|38787
2020-04-09|412|10885|25.72|10566|30519|NA|NA|41085
2020-04-10|425|11859|24.88|11483|34664|NA|NA|46147
2020-04-11|432|12261|23.51|12159|39556|NA|NA|51715
2020-04-12|438|12103|22.87|12452|42001|NA|NA|54453
2020-04-13|479|13125|23.35|13315|43706|NA|NA|57021
2020-04-14|517|13913|23.02|14223|47572|NA|NA|61795
2020-04-15|569|14583|23.38|14987|49103|NA|NA|64090
2020-04-16|611|15644|23.06|15669|52270|NA|NA|67939
2020-04-17|661|16658|23.99|17194|54490|NA|NA|71684
2020-04-18|670|17014|23.81|17669|56539|NA|NA|74208
