date|county|state|fips|cases|deaths|date_rec|daily_county_cfr
2020-03-19|Genesee|Michigan|26049|1|0|2020-03-19|0
2020-03-20|Genesee|Michigan|26049|1|0|2020-03-20|0
2020-03-21|Genesee|Michigan|26049|7|0|2020-03-21|0
2020-03-22|Genesee|Michigan|26049|14|0|2020-03-22|0
2020-03-23|Genesee|Michigan|26049|23|0|2020-03-23|0
2020-03-24|Genesee|Michigan|26049|34|0|2020-03-24|0
2020-03-25|Genesee|Michigan|26049|46|0|2020-03-25|0
2020-03-26|Genesee|Michigan|26049|63|1|2020-03-26|1.59
2020-03-27|Genesee|Michigan|26049|91|4|2020-03-27|4.4
2020-03-28|Genesee|Michigan|26049|110|5|2020-03-28|4.55
2020-03-29|Genesee|Michigan|26049|127|5|2020-03-29|3.94
2020-03-30|Genesee|Michigan|26049|150|7|2020-03-30|4.67
2020-03-31|Genesee|Michigan|26049|185|7|2020-03-31|3.78
2020-04-01|Genesee|Michigan|26049|249|8|2020-04-01|3.21
2020-04-02|Genesee|Michigan|26049|349|10|2020-04-02|2.87
2020-04-03|Genesee|Michigan|26049|422|11|2020-04-03|2.61
2020-04-04|Genesee|Michigan|26049|464|15|2020-04-04|3.23
2020-04-05|Genesee|Michigan|26049|504|18|2020-04-05|3.57
2020-04-06|Genesee|Michigan|26049|568|26|2020-04-06|4.58
2020-04-07|Genesee|Michigan|26049|638|33|2020-04-07|5.17
2020-04-08|Genesee|Michigan|26049|713|39|2020-04-08|5.47
2020-04-09|Genesee|Michigan|26049|755|48|2020-04-09|6.36
2020-04-10|Genesee|Michigan|26049|828|57|2020-04-10|6.88
2020-04-11|Genesee|Michigan|26049|919|62|2020-04-11|6.75
2020-04-12|Genesee|Michigan|26049|955|68|2020-04-12|7.12
2020-04-13|Genesee|Michigan|26049|988|77|2020-04-13|7.79
2020-04-14|Genesee|Michigan|26049|1030|86|2020-04-14|8.35
2020-04-15|Genesee|Michigan|26049|1084|89|2020-04-15|8.21
2020-04-16|Genesee|Michigan|26049|1147|99|2020-04-16|8.63
2020-04-17|Genesee|Michigan|26049|1197|106|2020-04-17|8.86
2020-04-18|Genesee|Michigan|26049|1228|112|2020-04-18|9.12
2020-04-19|Genesee|Michigan|26049|1240|115|2020-04-19|9.27
2020-04-20|Genesee|Michigan|26049|1256|123|2020-04-20|9.79
2020-04-21|Genesee|Michigan|26049|1298|131|2020-04-21|10.09
2020-04-22|Genesee|Michigan|26049|1362|138|2020-04-22|10.13
2020-04-23|Genesee|Michigan|26049|1387|144|2020-04-23|10.38
2020-04-24|Genesee|Michigan|26049|1434|151|2020-04-24|10.53
2020-04-25|Genesee|Michigan|26049|1452|157|2020-04-25|10.81
2020-04-26|Genesee|Michigan|26049|1467|161|2020-04-26|10.97
2020-04-27|Genesee|Michigan|26049|1483|165|2020-04-27|11.13
2020-04-28|Genesee|Michigan|26049|1533|174|2020-04-28|11.35
2020-04-29|Genesee|Michigan|26049|1564|180|2020-04-29|11.51
2020-04-30|Genesee|Michigan|26049|1581|188|2020-04-30|11.89
2020-05-01|Genesee|Michigan|26049|1600|192|2020-05-01|12
2020-05-02|Genesee|Michigan|26049|1620|196|2020-05-02|12.1
2020-05-03|Genesee|Michigan|26049|1634|196|2020-05-03|12
2020-05-04|Genesee|Michigan|26049|1647|199|2020-05-04|12.08
2020-05-05|Genesee|Michigan|26049|1668|200|2020-05-05|11.99
2020-05-06|Genesee|Michigan|26049|1710|208|2020-05-06|12.16
