date_rec|deaths_daily_nyt|positive_daily_cases_nyt|daily_cfr|p_pos|positive_daily_cases_cvt|negative_daily_cases_cvt|pending_daily_cases_cvt|p_pend|total_daily_cases_cvt
2020-03-10|0|2|0|NA|NA|NA|NA|NA|NA
2020-03-11|0|2|0|NA|NA|NA|NA|NA|NA
2020-03-12|0|12|0|NA|NA|NA|NA|NA|NA
2020-03-13|0|25|0|NA|NA|NA|NA|NA|NA
2020-03-14|0|33|0|NA|NA|NA|NA|NA|NA
2020-03-15|0|53|0|NA|NA|NA|NA|NA|NA
2020-03-16|0|54|0|NA|NA|NA|NA|NA|NA
2020-03-17|0|65|0|NA|NA|NA|NA|NA|NA
2020-03-18|1|80|1.25|NA|NA|NA|NA|NA|NA
2020-03-19|3|334|0.9|NA|NA|NA|NA|NA|NA
2020-03-20|4|548|0.73|NA|NA|NA|NA|NA|NA
2020-03-21|6|787|0.76|NA|NA|NA|NA|NA|NA
2020-03-22|9|1033|0.87|NA|NA|NA|NA|NA|NA
2020-03-23|16|1324|1.21|NA|NA|NA|NA|NA|NA
2020-03-24|24|1791|1.34|NA|NA|NA|NA|NA|NA
2020-03-25|43|2293|1.88|NA|NA|NA|NA|NA|NA
2020-03-26|63|2877|2.19|NA|NA|NA|NA|NA|NA
2020-03-27|93|3655|2.54|49.39|13799|14140|NA|NA|27939
2020-03-28|112|4634|2.42|48.31|14865|15902|NA|NA|30767
2020-03-29|132|5486|2.41|47.54|15784|17417|NA|NA|33201
2020-03-30|197|6508|3.03|42.74|17363|23263|NA|NA|40626
2020-03-31|264|7629|3.46|41.46|18654|26334|NA|NA|44988
2020-04-01|336|9292|3.62|40.33|20246|29951|NA|NA|50197
2020-04-02|417|10791|3.86|38.99|21376|33443|NA|NA|54819
2020-04-03|478|12669|3.77|37.86|22579|37060|NA|NA|59639
2020-04-04|541|14225|3.8|36.4|23581|41205|NA|NA|64786
2020-04-05|617|15633|3.95|35.65|24458|44154|NA|NA|68612
2020-04-06|727|17129|4.24|35.3|25785|47262|NA|NA|73047
2020-04-07|845|18851|4.48|34.88|26964|50344|NA|NA|77308
2020-04-08|959|20220|4.74|34.54|28064|53176|NA|NA|81240
2020-04-09|1076|21375|5.03|34.02|29096|56430|NA|NA|85526
2020-04-10|1280|22646|5.65|33.61|30172|59597|NA|NA|89769
2020-04-11|1395|23855|5.85|33.23|30980|62241|NA|NA|93221
