date_rec|deaths_daily_nyt|positive_daily_cases_nyt|p_pos|positive_daily_cases_cvt|negative_daily_cases_cvt|pending_daily_cases_cvt|p_pend|total_daily_cases_cvt
2020-03-03|0|1|NA|NA|NA|NA|NA|NA
2020-03-04|0|1|NA|NA|NA|NA|NA|NA
2020-03-05|0|1|NA|NA|NA|NA|NA|NA
2020-03-06|0|2|NA|NA|NA|NA|NA|NA
2020-03-07|0|2|NA|NA|NA|NA|NA|NA
2020-03-08|0|2|NA|NA|NA|NA|NA|NA
2020-03-09|0|7|NA|NA|NA|NA|NA|NA
2020-03-10|0|7|NA|NA|NA|NA|NA|NA
2020-03-11|0|8|NA|NA|NA|NA|NA|NA
2020-03-12|0|16|NA|NA|NA|NA|NA|NA
2020-03-13|0|18|NA|NA|NA|NA|NA|NA
2020-03-14|0|25|NA|NA|NA|NA|NA|NA
2020-03-15|0|32|NA|NA|NA|NA|NA|NA
2020-03-16|0|34|NA|NA|NA|NA|NA|NA
2020-03-17|0|42|NA|NA|NA|NA|NA|NA
2020-03-18|0|66|NA|NA|NA|NA|NA|NA
2020-03-19|0|104|NA|NA|NA|NA|NA|NA
2020-03-20|0|144|NA|NA|NA|NA|NA|NA
2020-03-21|0|184|NA|NA|NA|NA|NA|NA
2020-03-22|0|269|NA|NA|NA|NA|NA|NA
2020-03-23|0|302|3.52|297|8141|NA|NA|8438
2020-03-24|0|397|4.66|398|8141|NA|NA|8539
2020-03-25|1|562|4.81|504|9985|NA|NA|10489
2020-03-26|2|639|4.93|636|12274|NA|NA|12910
2020-03-27|3|784|5.04|763|14373|NA|NA|15136
2020-03-28|4|972|5.33|935|16592|NA|NA|17527
2020-03-29|6|1166|5.49|1040|17905|NA|NA|18945
2020-03-30|6|1303|6.26|1307|19557|NA|NA|20864
2020-03-31|10|1527|6.48|1498|21608|NA|NA|23106
2020-04-01|11|1591|6.04|1584|24659|NA|NA|26243
2020-04-02|17|1858|6.48|1857|26822|NA|NA|28679
2020-04-03|23|2093|6.62|2093|29505|NA|NA|31598
2020-04-04|30|2402|6.2|2402|36371|NA|NA|38773
2020-04-05|37|2585|6.46|2585|37460|NA|NA|40045
2020-04-06|42|2870|7.05|2870|37856|NA|NA|40726
2020-04-07|50|3220|7.84|3221|37861|NA|NA|41082
2020-04-08|61|3423|7.97|3426|39561|NA|NA|42987
2020-04-09|74|3651|7.64|3651|44158|NA|NA|47809
2020-04-10|78|3906|6.78|3908|53737|NA|NA|57645
2020-04-11|86|4310|7.14|4312|56081|NA|NA|60393
2020-04-12|86|4520|7.27|4520|57619|NA|NA|62139
2020-04-13|91|4788|7.6|4816|58572|NA|NA|63388
2020-04-14|116|4992|7.72|5024|60015|NA|NA|65039
2020-04-15|128|5123|7.55|5123|62704|NA|NA|67827
2020-04-16|140|5463|7.71|5465|65452|NA|NA|70917
2020-04-17|159|5859|8.03|5859|67122|NA|NA|72981
2020-04-18|175|6140|8.06|6140|70071|NA|NA|76211
2020-04-19|183|6493|8.24|6493|72279|NA|NA|78772
2020-04-20|187|6764|8.51|6764|72720|NA|NA|79484
