state|county|agg_cases|agg_deaths|county_cfr
Alabama|Autauga|11590|290|2.5
Alabama|Baldwin|18424|476|2.58
Alabama|Barbour|8021|55|0.69
Alabama|Bibb|4488|46|1.02
Alabama|Blount|4263|37|0.87
Alabama|Bullock|8349|228|2.73
Alabama|Butler|19369|773|3.99
Alabama|Calhoun|10216|206|2.02
Alabama|Chambers|25993|1625|6.25
Alabama|Cherokee|2170|121|5.58
Alabama|Chilton|6362|84|1.32
Alabama|Choctaw|7160|325|4.54
Alabama|Clarke|6922|125|1.81
Alabama|Clay|1900|101|5.32
Alabama|Cleburne|1179|65|5.51
Alabama|Coffee|12775|45|0.35
Alabama|Colbert|8794|186|2.12
Alabama|Conecuh|2613|33|1.26
Alabama|Coosa|2553|71|2.78
Alabama|Covington|5424|63|1.16
Alabama|Crenshaw|3900|104|2.67
Alabama|Cullman|8645|39|0.45
Alabama|Dale|5899|0|0
Alabama|Dallas|14774|237|1.6
Alabama|DeKalb|13555|198|1.46
Alabama|Elmore|18956|395|2.08
Alabama|Escambia|3862|177|4.58
Alabama|Etowah|15665|766|4.89
Alabama|Fayette|1174|5|0.43
Alabama|Franklin|25565|322|1.26
Alabama|Geneva|1821|0|0
Alabama|Greene|5794|211|3.64
Alabama|Hale|8528|401|4.7
Alabama|Henry|3900|93|2.38
Alabama|Houston|12271|291|2.37
Alabama|Jackson|5446|186|3.42
Alabama|Jefferson|114191|5456|4.78
Alabama|Lamar|1570|3|0.19
Alabama|Lauderdale|9060|219|2.42
Alabama|Lawrence|2611|0|0
Alabama|Lee|37419|2105|5.63
Alabama|Limestone|7305|0|0
Alabama|Lowndes|12535|546|4.36
Alabama|Macon|4819|224|4.65
Alabama|Madison|25668|335|1.31
Alabama|Marengo|8553|373|4.36
Alabama|Marion|7867|644|8.19
Alabama|Marshall|40857|545|1.33
Alabama|Mobile|126425|6449|5.1
Alabama|Monroe|3119|117|3.75
Alabama|Montgomery|88872|2150|2.42
Alabama|Morgan|16932|53|0.31
Alabama|Perry|2281|0|0
Alabama|Pickens|6318|227|3.59
Alabama|Pike|11024|34|0.31
Alabama|Randolph|7644|459|6
Alabama|Russell|9947|0|0
Alabama|Shelby|33881|1183|3.49
Alabama|St. Clair|8054|66|0.82
Alabama|Sumter|10787|374|3.47
Alabama|Talladega|7078|215|3.04
Alabama|Tallapoosa|25790|3260|12.64
Alabama|Tuscaloosa|42273|751|1.78
Alabama|Unknown|126|0|0
Alabama|Walker|19337|132|0.68
Alabama|Washington|4078|290|7.11
Alabama|Wilcox|8516|340|3.99
Alabama|Winston|4190|16|0.38
Alaska|Aleutians East Borough|22|0|0
Alaska|Aleutians West Census Area|69|0|0
Alaska|Anchorage|17693|354|2
Alaska|Bethel Census Area|174|0|0
Alaska|Bristol Bay Borough|61|0|0
Alaska|Dillingham Census Area|23|0|0
Alaska|Fairbanks North Star Borough|7084|153|2.16
Alaska|Haines Borough|21|0|0
Alaska|Juneau City and Borough|2371|0|0
Alaska|Kenai Peninsula Borough|3492|48|1.37
Alaska|Ketchikan Gateway Borough|1492|0|0
Alaska|Kodiak Island Borough|115|0|0
Alaska|Lake and Peninsula Borough|28|0|0
Alaska|Matanuska-Susitna Borough|2044|70|3.42
Alaska|Nome Census Area|162|0|0
Alaska|North Slope Borough|37|0|0
Alaska|Northwest Arctic Borough|91|0|0
Alaska|Petersburg Borough|199|0|0
Alaska|Prince of Wales-Hyder Census Area|147|0|0
Alaska|Sitka City and Borough|204|0|0
Alaska|Southeast Fairbanks Census Area|205|0|0
Alaska|Unknown|89|0|0
Alaska|Valdez-Cordova Census Area|293|0|0
Alaska|Wrangell City and Borough|31|0|0
Alaska|Yukon-Koyukuk Census Area|85|0|0
Arizona|Apache|74865|1811|2.42
Arizona|Cochise|6564|142|2.16
Arizona|Coconino|64219|4585|7.14
Arizona|Gila|2478|94|3.79
Arizona|Graham|1854|52|2.8
Arizona|Greenlee|367|22|5.99
Arizona|La Paz|5595|138|2.47
Arizona|Maricopa|683742|23237|3.4
Arizona|Mohave|21441|2290|10.68
Arizona|Navajo|105323|3408|3.24
Arizona|Pima|160678|10662|6.64
Arizona|Pinal|59280|1953|3.29
Arizona|Santa Cruz|24006|184|0.77
Arizona|Yavapai|16930|313|1.85
Arizona|Yuma|75841|1049|1.38
Arkansas|Arkansas|356|0|0
Arkansas|Ashley|1684|12|0.71
Arkansas|Baxter|626|0|0
Arkansas|Benton|36542|149|0.41
Arkansas|Boone|453|0|0
Arkansas|Bradley|1360|71|5.22
Arkansas|Carroll|1852|36|1.94
Arkansas|Chicot|1453|21|1.45
Arkansas|Clark|3005|0|0
Arkansas|Clay|494|5|1.01
Arkansas|Cleburne|6462|342|5.29
Arkansas|Cleveland|1189|0|0
Arkansas|Columbia|1287|104|8.08
Arkansas|Conway|1064|104|9.77
Arkansas|Craighead|12811|51|0.4
Arkansas|Crawford|1664|0|0
Arkansas|Crittenden|22204|525|2.36
Arkansas|Cross|2912|6|0.21
Arkansas|Dallas|135|0|0
Arkansas|Desha|1302|0|0
Arkansas|Drew|1367|74|5.41
Arkansas|Faulkner|8267|194|2.35
Arkansas|Franklin|259|0|0
Arkansas|Fulton|312|0|0
Arkansas|Garland|10142|48|0.47
Arkansas|Grant|1266|0|0
Arkansas|Greene|2916|0|0
Arkansas|Hempstead|1157|75|6.48
Arkansas|Hot Spring|2058|0|0
Arkansas|Howard|1638|1|0.06
Arkansas|Independence|1735|0|0
Arkansas|Izard|855|21|2.46
Arkansas|Jackson|330|0|0
Arkansas|Jefferson|28057|1378|4.91
Arkansas|Johnson|3517|0|0
Arkansas|Lafayette|619|58|9.37
Arkansas|Lawrence|4902|348|7.1
Arkansas|Lee|6832|70|1.02
Arkansas|Lincoln|58674|451|0.77
Arkansas|Little River|632|0|0
Arkansas|Logan|542|1|0.18
Arkansas|Lonoke|3742|0|0
Arkansas|Madison|2029|0|0
Arkansas|Marion|97|0|0
Arkansas|Miller|3385|69|2.04
Arkansas|Mississippi|3971|68|1.71
Arkansas|Monroe|350|0|0
Arkansas|Montgomery|84|0|0
Arkansas|Nevada|1475|11|0.75
Arkansas|Newton|215|0|0
Arkansas|Ouachita|713|0|0
Arkansas|Perry|784|0|0
Arkansas|Phillips|1249|75|6
Arkansas|Pike|334|0|0
Arkansas|Poinsett|2199|121|5.5
Arkansas|Polk|1531|1|0.07
Arkansas|Pope|8638|52|0.6
Arkansas|Prairie|272|0|0
Arkansas|Pulaski|58943|2026|3.44
Arkansas|Randolph|1639|5|0.31
Arkansas|Saline|7348|93|1.27
Arkansas|Scott|136|0|0
Arkansas|Searcy|551|0|0
Arkansas|Sebastian|3834|33|0.86
Arkansas|Sevier|10988|116|1.06
Arkansas|Sharp|2039|114|5.59
Arkansas|St. Francis|29540|50|0.17
Arkansas|Stone|710|0|0
Arkansas|Union|8499|361|4.25
Arkansas|Unknown|15273|25|0.16
Arkansas|Van Buren|2396|160|6.68
Arkansas|Washington|40370|411|1.02
Arkansas|White|3302|64|1.94
Arkansas|Woodruff|133|0|0
Arkansas|Yell|7585|70|0.92
California|Alameda|200615|6006|2.99
California|Alpine|137|0|0
California|Amador|645|0|0
California|Butte|2969|22|0.74
California|Calaveras|1213|0|0
California|Colusa|357|0|0
California|Contra Costa|96795|2504|2.59
California|Del Norte|1587|0|0
California|El Dorado|5643|0|0
California|Fresno|100625|1817|1.81
California|Glenn|1001|0|0
California|Humboldt|6375|113|1.77
California|Imperial|112524|1539|1.37
California|Inyo|1607|61|3.8
California|Kern|130877|1942|1.48
California|Kings|51176|256|0.5
California|Lake|1167|0|0
California|Lassen|215|0|0
California|Los Angeles|3085794|131660|4.27
California|Madera|8109|198|2.44
California|Marin|32364|1113|3.44
California|Mariposa|834|39|4.68
California|Mendocino|1654|0|0
California|Merced|17876|386|2.16
