date_rec|deaths_daily_nyt|positive_daily_cases_nyt|p_pos|positive_daily_cases_cvt|negative_daily_cases_cvt|pending_daily_cases_cvt|p_pend|total_daily_cases_cvt
2020-02-12|0|1|NA|NA|NA|NA|NA|NA
2020-02-13|0|2|NA|NA|NA|NA|NA|NA
2020-02-14|0|2|NA|NA|NA|NA|NA|NA
2020-02-15|0|2|NA|NA|NA|NA|NA|NA
2020-02-16|0|2|NA|NA|NA|NA|NA|NA
2020-02-17|0|2|NA|NA|NA|NA|NA|NA
2020-02-18|0|2|NA|NA|NA|NA|NA|NA
2020-02-19|0|2|NA|NA|NA|NA|NA|NA
2020-02-20|0|2|NA|NA|NA|NA|NA|NA
2020-02-21|0|4|NA|NA|NA|NA|NA|NA
2020-02-22|0|4|NA|NA|NA|NA|NA|NA
2020-02-23|0|4|NA|NA|NA|NA|NA|NA
2020-02-24|0|10|NA|NA|NA|NA|NA|NA
2020-02-25|0|10|NA|NA|NA|NA|NA|NA
2020-02-26|0|10|NA|NA|NA|NA|NA|NA
2020-02-27|0|10|NA|NA|NA|NA|NA|NA
2020-02-28|0|11|NA|NA|NA|NA|NA|NA
2020-02-29|0|11|NA|NA|NA|NA|NA|NA
2020-03-01|0|11|NA|NA|NA|NA|NA|NA
2020-03-02|0|11|NA|NA|NA|NA|NA|NA
2020-03-03|0|11|NA|NA|NA|NA|NA|NA
2020-03-04|0|12|NA|NA|NA|NA|NA|NA
2020-03-05|0|16|NA|NA|NA|NA|NA|NA
2020-03-06|0|19|NA|NA|NA|NA|NA|NA
2020-03-07|0|19|NA|NA|NA|NA|NA|NA
2020-03-08|0|23|NA|NA|NA|NA|NA|NA
2020-03-09|0|24|NA|NA|NA|NA|NA|NA
2020-03-10|0|31|NA|NA|NA|NA|NA|NA
2020-03-11|0|33|NA|NA|NA|NA|NA|NA
2020-03-12|0|41|NA|NA|NA|NA|NA|NA
2020-03-13|0|58|NA|NA|NA|NA|NA|NA
2020-03-14|0|69|NA|NA|NA|NA|NA|NA
2020-03-15|0|80|NA|NA|NA|NA|NA|NA
2020-03-16|1|87|NA|NA|NA|NA|NA|NA
2020-03-17|1|106|NA|NA|NA|NA|NA|NA
2020-03-18|2|166|NA|NA|NA|NA|NA|NA
2020-03-19|4|248|NA|NA|NA|NA|NA|NA
2020-03-20|5|386|NA|NA|NA|NA|NA|NA
2020-03-21|5|547|NA|NA|NA|NA|NA|NA
2020-03-22|7|639|NA|NA|NA|NA|NA|NA
2020-03-23|7|728|3.5|352|9703|NA|NA|10055
2020-03-24|10|857|3.67|410|10757|NA|NA|11167
2020-03-25|13|1132|7.22|974|12520|NA|NA|13494
2020-03-26|21|1542|6.52|1396|20028|NA|NA|21424
2020-03-27|25|1971|7.31|1731|21935|NA|NA|23666
2020-03-28|30|2381|8.12|2052|23208|NA|NA|25260
2020-03-29|35|2722|9.91|2552|23208|NA|NA|25760
2020-03-30|46|3065|8.02|2877|33003|NA|NA|35880
2020-03-31|57|3588|7.6|3266|39726|NA|NA|42992
2020-04-01|65|4402|8.35|3997|43860|NA|NA|47857
2020-04-02|80|4952|9.21|4669|46010|NA|NA|50679
2020-04-03|98|5773|9.56|5330|50434|NA|NA|55764
2020-04-04|124|6566|9.58|6110|57641|NA|NA|63751
2020-04-05|136|7117|9.6|6812|64126|NA|NA|70938
2020-04-06|159|8150|8.52|7276|78081|NA|NA|85357
2020-04-07|177|8968|9.32|8262|80387|NA|NA|88649
2020-04-08|195|9897|9.72|9353|86905|NA|NA|96258
2020-04-09|228|11372|9.64|10230|95904|NA|NA|106134
2020-04-10|249|12291|10.09|11671|104047|NA|NA|115718
2020-04-11|265|13208|10.42|12561|107972|NA|NA|120533
2020-04-12|288|13776|10.83|13484|111049|NA|NA|124533
2020-04-13|320|14487|10.44|13906|119320|NA|NA|133226
2020-04-14|365|15303|9.98|14624|131843|NA|NA|146467
2020-04-15|395|16106|10.2|15492|136318|NA|NA|151810
2020-04-16|428|16928|10.38|16455|142092|NA|NA|158547
2020-04-17|461|18131|10.25|17371|152165|NA|NA|169536
2020-04-18|487|18927|10.36|18260|157979|NA|NA|176239
2020-04-19|503|19441|10.36|18923|163787|NA|NA|182710
2020-04-20|523|20035|10.22|19458|170936|NA|NA|190394
2020-04-21|552|20949|9.83|20196|185203|NA|NA|205399
2020-04-22|571|21769|9.72|21069|195714|NA|NA|216783
2020-04-23|601|22706|9.75|21944|203134|NA|NA|225078
2020-04-24|625|23650|9.4|22806|219741|NA|NA|242547
2020-04-25|662|24494|9.05|23773|239043|NA|NA|262816
2020-04-26|676|25209|8.92|24631|251390|NA|NA|276021
2020-04-27|699|25963|8.71|25297|265220|NA|NA|290517
2020-04-28|738|26868|8.71|26171|274213|NA|NA|300384
2020-04-29|776|27839|8.59|27054|287736|NA|NA|314790
2020-04-30|828|29072|8.5|28087|302213|NA|NA|330300
2020-05-01|853|30342|8.31|29229|322546|NA|NA|351775
2020-05-02|875|31433|8.02|30522|350126|NA|NA|380648
2020-05-03|890|32299|8.08|31548|359012|NA|NA|390560
2020-05-04|914|33134|7.94|32332|375066|NA|NA|407398
2020-05-05|955|34286|7.81|33369|393841|NA|NA|427210
2020-05-06|985|35441|7.84|34422|404516|NA|NA|438938
2020-05-07|1016|36682|7.78|35390|419772|NA|NA|455162
2020-05-08|1059|37943|7.67|36609|440509|NA|NA|477118
2020-05-09|1086|38849|7.74|37860|451434|NA|NA|489294
2020-05-10|1110|40037|7.75|38869|462907|NA|NA|501776
2020-05-11|1137|40988|7.58|39869|485828|NA|NA|525697
2020-05-12|1169|42348|7.63|41048|497124|NA|NA|538172
2020-05-13|1205|43822|7.62|42403|514373|NA|NA|556776
2020-05-14|1256|45169|7.47|43851|543462|NA|NA|587313
2020-05-15|1300|46987|7.41|45198|564432|NA|NA|609630
2020-05-16|1330|47866|7.36|46999|591740|NA|NA|638739
2020-05-17|1356|48828|7.35|47784|602571|NA|NA|650355
2020-05-18|1362|49788|7.16|48693|631152|NA|NA|679845
2020-05-19|1405|51080|7.13|49912|650234|NA|NA|700146
2020-05-20|1443|52369|7.12|51323|669605|NA|NA|720928
2020-05-21|1480|53441|7.06|52268|687913|NA|NA|740181
2020-05-22|1498|54369|7.21|53449|687913|NA|NA|741362
2020-05-23|1522|55451|7.15|54509|708197|NA|NA|762706
2020-05-24|1533|56050|7.25|55348|708197|NA|NA|763545
2020-05-25|1536|56490|6.95|55971|749683|NA|NA|805654
2020-05-26|1552|57573|6.89|56560|764673|NA|NA|821233
2020-05-27|1598|59105|6.77|57921|797753|NA|NA|855674
2020-05-28|1618|60820|6.85|59776|813442|NA|NA|873218
2020-05-29|1645|62073|6.83|61006|832269|NA|NA|893275
2020-05-30|1676|63396|6.71|62338|866179|NA|NA|928517
2020-05-31|1683|64974|6.75|64287|887578|NA|NA|951865
2020-06-01|1695|66081|6.69|64880|905151|NA|NA|970031
2020-06-02|1732|67966|6.75|66568|919656|NA|NA|986224
2020-06-03|1766|69546|6.78|68271|938497|NA|NA|1006768
2020-06-04|1793|71330|6.73|69920|968635|NA|NA|1038555
2020-06-05|1821|73324|6.75|71613|989963|NA|NA|1061576
2020-06-06|1840|75077|6.73|73553|1019724|NA|NA|1093277
2020-06-07|1846|75948|6.81|74978|1025468|NA|NA|1100446
2020-06-08|1856|77326|6.75|75616|1044700|NA|NA|1120316
2020-06-09|1886|79271|6.73|77253|1070102|NA|NA|1147355
2020-06-10|1916|81771|6.87|79757|1081330|NA|NA|1161087
2020-06-11|1942|83772|6.76|81583|1124737|NA|NA|1206320
2020-06-12|1965|86031|6.82|83680|1143277|NA|NA|1226957
2020-06-13|1989|88120|6.82|86011|1174308|NA|NA|1260319
2020-06-14|1995|89542|6.78|87854|1208129|NA|NA|1295983
2020-06-15|2018|91727|6.78|89108|1225653|NA|NA|1314761
2020-06-16|2057|95973|6.91|93206|1255236|NA|NA|1348442
2020-06-17|2099|99466|7.03|96335|1273303|NA|NA|1369638
2020-06-18|2137|102677|7.09|99851|1307890|NA|NA|1407741
2020-06-19|2168|107322|7.26|103305|1320609|NA|NA|1423914
2020-06-20|2186|111594|7.36|107735|1355663|NA|NA|1463398
2020-06-21|2195|114886|7.31|111601|1414579|NA|NA|1526180
2020-06-22|2213|119646|7.42|114881|1434128|NA|NA|1549009
