date|county|state|fips|cases|deaths|date_rec|daily_county_cfr
2020-03-27|Taylor|Texas|48441|1|0|2020-03-27|0
2020-03-28|Taylor|Texas|48441|2|0|2020-03-28|0
2020-03-29|Taylor|Texas|48441|7|0|2020-03-29|0
2020-03-30|Taylor|Texas|48441|7|0|2020-03-30|0
2020-03-31|Taylor|Texas|48441|11|0|2020-03-31|0
2020-04-01|Taylor|Texas|48441|14|0|2020-04-01|0
2020-04-02|Taylor|Texas|48441|14|0|2020-04-02|0
2020-04-03|Taylor|Texas|48441|18|0|2020-04-03|0
2020-04-04|Taylor|Texas|48441|23|1|2020-04-04|4.35
2020-04-05|Taylor|Texas|48441|27|1|2020-04-05|3.7
2020-04-06|Taylor|Texas|48441|27|1|2020-04-06|3.7
2020-04-07|Taylor|Texas|48441|31|1|2020-04-07|3.23
2020-04-08|Taylor|Texas|48441|31|1|2020-04-08|3.23
2020-04-09|Taylor|Texas|48441|31|1|2020-04-09|3.23
2020-04-10|Taylor|Texas|48441|51|1|2020-04-10|1.96
2020-04-11|Taylor|Texas|48441|55|1|2020-04-11|1.82
2020-04-12|Taylor|Texas|48441|59|1|2020-04-12|1.69
2020-04-13|Taylor|Texas|48441|68|1|2020-04-13|1.47
2020-04-14|Taylor|Texas|48441|74|1|2020-04-14|1.35
2020-04-15|Taylor|Texas|48441|74|2|2020-04-15|2.7
2020-04-16|Taylor|Texas|48441|79|2|2020-04-16|2.53
2020-04-17|Taylor|Texas|48441|89|2|2020-04-17|2.25
2020-04-18|Taylor|Texas|48441|142|2|2020-04-18|1.41
2020-04-19|Taylor|Texas|48441|142|2|2020-04-19|1.41
2020-04-20|Taylor|Texas|48441|144|2|2020-04-20|1.39
2020-04-21|Taylor|Texas|48441|164|3|2020-04-21|1.83
2020-04-22|Taylor|Texas|48441|164|2|2020-04-22|1.22
2020-04-23|Taylor|Texas|48441|191|3|2020-04-23|1.57
2020-04-24|Taylor|Texas|48441|191|3|2020-04-24|1.57
2020-04-25|Taylor|Texas|48441|203|3|2020-04-25|1.48
2020-04-26|Taylor|Texas|48441|216|3|2020-04-26|1.39
2020-04-27|Taylor|Texas|48441|255|3|2020-04-27|1.18
2020-04-28|Taylor|Texas|48441|277|3|2020-04-28|1.08
2020-04-29|Taylor|Texas|48441|291|5|2020-04-29|1.72
2020-04-30|Taylor|Texas|48441|319|5|2020-04-30|1.57
2020-05-01|Taylor|Texas|48441|319|5|2020-05-01|1.57
2020-05-02|Taylor|Texas|48441|327|5|2020-05-02|1.53
2020-05-03|Taylor|Texas|48441|348|5|2020-05-03|1.44
2020-05-04|Taylor|Texas|48441|349|5|2020-05-04|1.43
2020-05-05|Taylor|Texas|48441|378|6|2020-05-05|1.59
2020-05-06|Taylor|Texas|48441|378|6|2020-05-06|1.59
2020-05-07|Taylor|Texas|48441|382|6|2020-05-07|1.57
2020-05-08|Taylor|Texas|48441|384|6|2020-05-08|1.56
2020-05-09|Taylor|Texas|48441|384|6|2020-05-09|1.56
2020-05-10|Taylor|Texas|48441|384|6|2020-05-10|1.56
2020-05-11|Taylor|Texas|48441|386|6|2020-05-11|1.55
2020-05-12|Taylor|Texas|48441|389|6|2020-05-12|1.54
2020-05-13|Taylor|Texas|48441|390|6|2020-05-13|1.54
2020-05-14|Taylor|Texas|48441|391|6|2020-05-14|1.53
2020-05-15|Taylor|Texas|48441|393|6|2020-05-15|1.53
2020-05-16|Taylor|Texas|48441|393|6|2020-05-16|1.53
2020-05-17|Taylor|Texas|48441|393|6|2020-05-17|1.53
2020-05-18|Taylor|Texas|48441|393|6|2020-05-18|1.53
2020-05-19|Taylor|Texas|48441|400|6|2020-05-19|1.5
2020-05-20|Taylor|Texas|48441|400|6|2020-05-20|1.5
2020-05-21|Taylor|Texas|48441|400|6|2020-05-21|1.5
2020-05-22|Taylor|Texas|48441|322|5|2020-05-22|1.55
2020-05-23|Taylor|Texas|48441|322|5|2020-05-23|1.55
2020-05-24|Taylor|Texas|48441|322|5|2020-05-24|1.55
2020-05-25|Taylor|Texas|48441|322|5|2020-05-25|1.55
2020-05-26|Taylor|Texas|48441|324|5|2020-05-26|1.54
2020-05-27|Taylor|Texas|48441|325|5|2020-05-27|1.54
2020-05-28|Taylor|Texas|48441|326|5|2020-05-28|1.53
