date|county|state|fips|cases|deaths|date_rec|daily_county_cfr
2020-03-25|Manassas city|Virginia|51683|2|0|2020-03-25|0
2020-03-26|Manassas city|Virginia|51683|3|0|2020-03-26|0
2020-03-27|Manassas city|Virginia|51683|3|0|2020-03-27|0
2020-03-28|Manassas city|Virginia|51683|4|0|2020-03-28|0
2020-03-29|Manassas city|Virginia|51683|5|0|2020-03-29|0
2020-03-30|Manassas city|Virginia|51683|7|0|2020-03-30|0
2020-03-31|Manassas city|Virginia|51683|8|0|2020-03-31|0
2020-04-01|Manassas city|Virginia|51683|9|0|2020-04-01|0
2020-04-02|Manassas city|Virginia|51683|12|0|2020-04-02|0
2020-04-03|Manassas city|Virginia|51683|13|0|2020-04-03|0
2020-04-04|Manassas city|Virginia|51683|14|0|2020-04-04|0
2020-04-05|Manassas city|Virginia|51683|14|0|2020-04-05|0
2020-04-06|Manassas city|Virginia|51683|17|0|2020-04-06|0
2020-04-07|Manassas city|Virginia|51683|20|0|2020-04-07|0
2020-04-08|Manassas city|Virginia|51683|20|0|2020-04-08|0
2020-04-09|Manassas city|Virginia|51683|25|0|2020-04-09|0
2020-04-10|Manassas city|Virginia|51683|29|0|2020-04-10|0
2020-04-11|Manassas city|Virginia|51683|34|0|2020-04-11|0
2020-04-12|Manassas city|Virginia|51683|34|0|2020-04-12|0
2020-04-13|Manassas city|Virginia|51683|41|0|2020-04-13|0
2020-04-14|Manassas city|Virginia|51683|49|0|2020-04-14|0
2020-04-15|Manassas city|Virginia|51683|53|0|2020-04-15|0
2020-04-16|Manassas city|Virginia|51683|62|0|2020-04-16|0
2020-04-17|Manassas city|Virginia|51683|72|0|2020-04-17|0
2020-04-18|Manassas city|Virginia|51683|82|0|2020-04-18|0
2020-04-19|Manassas city|Virginia|51683|93|0|2020-04-19|0
2020-04-20|Manassas city|Virginia|51683|96|0|2020-04-20|0
2020-04-21|Manassas city|Virginia|51683|110|0|2020-04-21|0
2020-04-22|Manassas city|Virginia|51683|117|0|2020-04-22|0
2020-04-23|Manassas city|Virginia|51683|127|1|2020-04-23|0.79
2020-04-24|Manassas city|Virginia|51683|137|1|2020-04-24|0.73
2020-04-25|Manassas city|Virginia|51683|154|1|2020-04-25|0.65
2020-04-26|Manassas city|Virginia|51683|158|2|2020-04-26|1.27
2020-04-27|Manassas city|Virginia|51683|165|2|2020-04-27|1.21
2020-04-28|Manassas city|Virginia|51683|175|2|2020-04-28|1.14
2020-04-29|Manassas city|Virginia|51683|196|3|2020-04-29|1.53
2020-04-30|Manassas city|Virginia|51683|216|2|2020-04-30|0.93
2020-05-01|Manassas city|Virginia|51683|222|2|2020-05-01|0.9
2020-05-02|Manassas city|Virginia|51683|258|2|2020-05-02|0.78
2020-05-03|Manassas city|Virginia|51683|266|1|2020-05-03|0.38
2020-05-04|Manassas city|Virginia|51683|273|1|2020-05-04|0.37
2020-05-05|Manassas city|Virginia|51683|289|1|2020-05-05|0.35
2020-05-06|Manassas city|Virginia|51683|289|1|2020-05-06|0.35
2020-05-07|Manassas city|Virginia|51683|332|1|2020-05-07|0.3
2020-05-08|Manassas city|Virginia|51683|355|2|2020-05-08|0.56
2020-05-09|Manassas city|Virginia|51683|358|2|2020-05-09|0.56
2020-05-10|Manassas city|Virginia|51683|381|2|2020-05-10|0.52
2020-05-11|Manassas city|Virginia|51683|428|3|2020-05-11|0.7
2020-05-12|Manassas city|Virginia|51683|430|3|2020-05-12|0.7
2020-05-13|Manassas city|Virginia|51683|459|4|2020-05-13|0.87
2020-05-14|Manassas city|Virginia|51683|515|5|2020-05-14|0.97
2020-05-15|Manassas city|Virginia|51683|533|5|2020-05-15|0.94
2020-05-16|Manassas city|Virginia|51683|574|5|2020-05-16|0.87
2020-05-17|Manassas city|Virginia|51683|594|5|2020-05-17|0.84
2020-05-18|Manassas city|Virginia|51683|628|5|2020-05-18|0.8
2020-05-19|Manassas city|Virginia|51683|680|5|2020-05-19|0.74
2020-05-20|Manassas city|Virginia|51683|699|6|2020-05-20|0.86
2020-05-21|Manassas city|Virginia|51683|743|6|2020-05-21|0.81
2020-05-22|Manassas city|Virginia|51683|764|7|2020-05-22|0.92
2020-05-23|Manassas city|Virginia|51683|792|7|2020-05-23|0.88
2020-05-24|Manassas city|Virginia|51683|806|7|2020-05-24|0.87
2020-05-25|Manassas city|Virginia|51683|849|9|2020-05-25|1.06
