date_rec|deaths_daily_nyt|positive_daily_cases_nyt|daily_cfr|p_pos|positive_daily_cases_cvt|negative_daily_cases_cvt|pending_daily_cases_cvt|p_pend|total_daily_cases_cvt
2020-03-07|0|1|0|NA|NA|NA|NA|NA|NA
2020-03-08|0|2|0|NA|NA|NA|NA|NA|NA
2020-03-09|0|5|0|NA|NA|NA|NA|NA|NA
2020-03-10|0|8|0|NA|NA|NA|NA|NA|NA
2020-03-11|0|10|0|NA|NA|NA|NA|NA|NA
2020-03-12|0|17|0|NA|NA|NA|NA|NA|NA
2020-03-13|0|30|0|NA|NA|NA|NA|NA|NA
2020-03-14|1|42|2.38|NA|NA|NA|NA|NA|NA
2020-03-15|1|45|2.22|NA|NA|NA|NA|NA|NA
2020-03-16|1|51|1.96|NA|NA|NA|NA|NA|NA
2020-03-17|2|67|2.99|NA|NA|NA|NA|NA|NA
2020-03-18|2|78|2.56|NA|NA|NA|NA|NA|NA
2020-03-19|2|94|2.13|NA|NA|NA|NA|NA|NA
2020-03-20|2|115|1.74|NA|NA|NA|NA|NA|NA
2020-03-21|3|152|1.97|NA|NA|NA|NA|NA|NA
2020-03-22|6|219|2.74|NA|NA|NA|NA|NA|NA
2020-03-23|6|254|2.36|6.87|254|3443|NA|NA|3697
2020-03-24|7|291|2.41|6.49|290|4180|NA|NA|4470
2020-03-25|9|390|2.31|7.28|391|4979|NA|NA|5370
2020-03-26|14|603|2.32|7.43|460|5729|NA|NA|6189
2020-03-27|9|605|1.49|8.23|604|6733|NA|NA|7337
2020-03-28|9|739|1.22|8.06|739|8427|NA|NA|9166
2020-03-29|11|889|1.24|8.39|890|9719|NA|NA|10609
2020-03-30|12|1020|1.18|8.47|1020|11018|NA|NA|12038
2020-03-31|12|1249|0.96|9.33|1250|12151|NA|NA|13401
2020-04-01|18|1511|1.19|9.67|1484|13860|NA|NA|15344
2020-04-02|18|1706|1.06|9.7|1706|15883|NA|NA|17589
2020-04-03|46|2011|2.29|10.59|2012|16993|NA|NA|19005
2020-04-04|52|2408|2.16|11.17|2407|19145|NA|NA|21552
2020-04-05|52|2636|1.97|11.14|2637|21034|NA|NA|23671
2020-04-06|54|2877|1.88|11.74|2878|21643|NA|NA|24521
2020-04-07|69|3332|2.07|11.64|3333|25312|NA|NA|28645
2020-04-08|60|3644|1.65|11.89|3645|27000|NA|NA|30645
2020-04-09|109|4041|2.7|12.01|4042|28984|627|1.86|33653
2020-04-10|121|4509|2.68|12.53|4509|30950|521|1.45|35980
2020-04-11|130|5076|2.56|13.18|5077|32922|517|1.34|38516
2020-04-12|141|5273|2.67|13.02|5274|34711|521|1.29|40506
2020-04-13|149|5746|2.59|13.72|5747|35654|473|1.13|41874
2020-04-14|154|6173|2.49|14.27|6171|36592|469|1.08|43232
2020-04-15|195|6502|3|14.55|6500|37669|496|1.11|44665
2020-04-16|208|6891|3.02|14.66|6889|39555|537|1.14|46981
2020-04-17|238|7492|3.18|15.13|7491|41506|499|1.01|49496
2020-04-18|258|8053|3.2|15.36|8053|43878|486|0.93|52417
2020-04-19|277|8536|3.25|15.46|8537|46196|499|0.9|55232
2020-04-20|300|8989|3.34|15.72|8990|47745|468|0.82|57203
2020-04-21|325|9629|3.38|16.37|9630|48724|477|0.81|58831
2020-04-22|349|10265|3.4|16.76|10266|50512|477|0.78|61255
2020-04-23|375|10999|3.41|16.82|10998|53891|492|0.75|65381
2020-04-24|413|11595|3.56|16.58|11594|57846|487|0.7|69927
2020-04-25|436|12365|3.53|16.7|12366|60276|1405|1.9|74047
2020-04-26|448|12969|3.45|16.81|12970|63630|539|0.7|77139
2020-04-27|458|13534|3.38|16.66|13535|67144|542|0.67|81221
2020-04-28|492|14338|3.43|17.1|14339|68959|560|0.67|83858
2020-04-29|522|14961|3.49|17.28|14961|70979|620|0.72|86560
2020-04-30|552|15846|3.48|17.21|15846|75663|583|0.63|92092
2020-05-01|581|16901|3.44|15.81|16901|89539|468|0.44|106908
2020-05-02|616|17731|3.47|17.29|17731|84365|458|0.45|102554
2020-05-03|660|18671|3.53|17.21|18671|89331|465|0.43|108467
2020-05-04|684|19492|3.51|17.28|19492|92801|478|0.42|112771
2020-05-05|713|20256|3.52|17.74|20256|93452|469|0.41|114177
2020-05-06|713|20256|3.52|17.74|20256|93452|469|0.41|114177
2020-05-07|769|21570|3.57|17.44|21570|101582|519|0.42|123671
2020-05-08|812|22342|3.63|17.12|22342|107603|549|0.42|130494
2020-05-09|827|23196|3.57|16.85|23196|113953|501|0.36|137650
2020-05-10|839|24081|3.48|16.77|24081|118974|506|0.35|143561
2020-05-11|850|25070|3.39|16.6|25070|125547|432|0.29|151049
2020-05-12|891|25800|3.45|16.56|25800|129529|447|0.29|155776
2020-05-13|927|26746|3.47|16.52|26746|134646|485|0.3|161877
2020-05-14|955|27813|3.43|16.62|27813|139017|496|0.3|167326
2020-05-15|977|28672|3.41|16.07|28672|149342|458|0.26|178472
2020-05-16|1002|29683|3.38|15.95|29683|155885|485|0.26|186053
2020-05-17|1009|30388|3.32|15.92|30388|159973|527|0.28|190888
2020-05-18|1014|31140|3.26|15.83|31140|165086|530|0.27|196756
2020-05-19|1041|32145|3.24|15.81|32145|170644|473|0.23|203262
2020-05-20|1074|32908|3.26|15.44|32908|179718|518|0.24|213144
2020-05-21|1099|34137|3.22|15.58|34137|184462|490|0.22|219089
2020-05-22|1136|34950|3.25|15.49|34950|190225|464|0.21|225639
2020-05-23|1159|35749|3.24|15.35|35749|196721|409|0.18|232879
2020-05-24|1171|36244|3.23|14.82|36244|207841|411|0.17|244496
2020-05-25|1208|37727|3.2|14.56|37727|221023|414|0.16|259164
2020-05-26|1236|39342|3.14|14.7|39342|227839|412|0.15|267593
2020-05-27|1281|40249|3.18|14.5|40249|236798|444|0.16|277491
2020-05-28|1338|41401|3.23|14.39|41401|245880|476|0.17|287757
2020-05-29|1358|42533|3.19|14.23|42533|255844|525|0.18|298902
2020-05-30|1370|43611|3.14|14.25|43611|261901|481|0.16|305993
2020-05-31|1375|44607|3.08|14.12|44607|270784|500|0.16|315891
2020-06-01|1392|45398|3.07|13.96|45398|279321|419|0.13|325138
2020-06-02|1407|46239|3.04|14.04|46239|282650|450|0.14|329339
