date,county,state,fips,cases,deaths,date_rec
2020-03-02,Fulton,Georgia,13121,2,0,2020-03-02
2020-03-03,Fulton,Georgia,13121,2,0,2020-03-03
2020-03-04,Fulton,Georgia,13121,2,0,2020-03-04
2020-03-05,Fulton,Georgia,13121,2,0,2020-03-05
2020-03-06,Fulton,Georgia,13121,2,0,2020-03-06
2020-03-07,Fulton,Georgia,13121,4,0,2020-03-07
2020-03-08,Fulton,Georgia,13121,5,0,2020-03-08
2020-03-09,Fulton,Georgia,13121,5,0,2020-03-09
2020-03-10,Fulton,Georgia,13121,6,0,2020-03-10
2020-03-11,Fulton,Georgia,13121,6,0,2020-03-11
2020-03-12,Fulton,Georgia,13121,6,0,2020-03-12
2020-03-13,Fulton,Georgia,13121,6,0,2020-03-13
2020-03-14,Fulton,Georgia,13121,13,0,2020-03-14
2020-03-15,Fulton,Georgia,13121,20,0,2020-03-15
2020-03-16,Fulton,Georgia,13121,27,0,2020-03-16
2020-03-17,Fulton,Georgia,13121,33,0,2020-03-17
2020-03-18,Fulton,Georgia,13121,49,0,2020-03-18
2020-03-19,Fulton,Georgia,13121,68,2,2020-03-19
2020-03-20,Fulton,Georgia,13121,95,2,2020-03-20
2020-03-21,Fulton,Georgia,13121,100,3,2020-03-21
2020-03-22,Fulton,Georgia,13121,111,3,2020-03-22
2020-03-23,Fulton,Georgia,13121,152,3,2020-03-23
2020-03-24,Fulton,Georgia,13121,191,4,2020-03-24
2020-03-25,Fulton,Georgia,13121,204,4,2020-03-25
2020-03-26,Fulton,Georgia,13121,231,4,2020-03-26
2020-03-27,Fulton,Georgia,13121,347,12,2020-03-27
2020-03-28,Fulton,Georgia,13121,378,13,2020-03-28
2020-03-29,Fulton,Georgia,13121,425,12,2020-03-29
2020-03-30,Fulton,Georgia,13121,503,16,2020-03-30
2020-03-31,Fulton,Georgia,13121,599,18,2020-03-31
2020-04-01,Fulton,Georgia,13121,638,20,2020-04-01
2020-04-02,Fulton,Georgia,13121,747,23,2020-04-02
2020-04-03,Fulton,Georgia,13121,910,26,2020-04-03
2020-04-04,Fulton,Georgia,13121,959,26,2020-04-04
2020-04-05,Fulton,Georgia,13121,970,28,2020-04-05
2020-04-06,Fulton,Georgia,13121,1053,32,2020-04-06
2020-04-07,Fulton,Georgia,13121,1185,39,2020-04-07
2020-04-08,Fulton,Georgia,13121,1261,42,2020-04-08
2020-04-09,Fulton,Georgia,13121,1336,48,2020-04-09
2020-04-10,Fulton,Georgia,13121,1417,50,2020-04-10
2020-04-11,Fulton,Georgia,13121,1446,50,2020-04-11
2020-04-12,Fulton,Georgia,13121,1495,50,2020-04-12
2020-04-13,Fulton,Georgia,13121,1635,52,2020-04-13
2020-04-14,Fulton,Georgia,13121,1812,60,2020-04-14
2020-04-15,Fulton,Georgia,13121,1902,63,2020-04-15
2020-04-16,Fulton,Georgia,13121,1945,66,2020-04-16
2020-04-17,Fulton,Georgia,13121,2037,74,2020-04-17
2020-04-18,Fulton,Georgia,13121,2065,74,2020-04-18
2020-04-19,Fulton,Georgia,13121,2131,75,2020-04-19
2020-04-20,Fulton,Georgia,13121,2198,80,2020-04-20
2020-04-21,Fulton,Georgia,13121,2206,83,2020-04-21
2020-04-22,Fulton,Georgia,13121,2255,85,2020-04-22
2020-04-23,Fulton,Georgia,13121,2436,88,2020-04-23
2020-04-24,Fulton,Georgia,13121,2500,91,2020-04-24
2020-04-25,Fulton,Georgia,13121,2543,91,2020-04-25
2020-04-26,Fulton,Georgia,13121,2545,94,2020-04-26
2020-04-27,Fulton,Georgia,13121,2680,103,2020-04-27
2020-04-28,Fulton,Georgia,13121,2753,108,2020-04-28
2020-04-29,Fulton,Georgia,13121,2785,116,2020-04-29
2020-04-30,Fulton,Georgia,13121,2821,118,2020-04-30
