date,county,state,fips,cases,deaths,date_rec
2020-03-19,Genesee,Michigan,26049,1,0,2020-03-19
2020-03-20,Genesee,Michigan,26049,1,0,2020-03-20
2020-03-21,Genesee,Michigan,26049,7,0,2020-03-21
2020-03-22,Genesee,Michigan,26049,14,0,2020-03-22
2020-03-23,Genesee,Michigan,26049,23,0,2020-03-23
2020-03-24,Genesee,Michigan,26049,34,0,2020-03-24
2020-03-25,Genesee,Michigan,26049,46,0,2020-03-25
2020-03-26,Genesee,Michigan,26049,63,1,2020-03-26
2020-03-27,Genesee,Michigan,26049,91,4,2020-03-27
2020-03-28,Genesee,Michigan,26049,110,5,2020-03-28
2020-03-29,Genesee,Michigan,26049,127,5,2020-03-29
2020-03-30,Genesee,Michigan,26049,150,7,2020-03-30
2020-03-31,Genesee,Michigan,26049,185,7,2020-03-31
2020-04-01,Genesee,Michigan,26049,249,8,2020-04-01
2020-04-02,Genesee,Michigan,26049,349,10,2020-04-02
2020-04-03,Genesee,Michigan,26049,422,11,2020-04-03
2020-04-04,Genesee,Michigan,26049,464,15,2020-04-04
2020-04-05,Genesee,Michigan,26049,504,18,2020-04-05
2020-04-06,Genesee,Michigan,26049,568,26,2020-04-06
2020-04-07,Genesee,Michigan,26049,638,33,2020-04-07
2020-04-08,Genesee,Michigan,26049,713,39,2020-04-08
2020-04-09,Genesee,Michigan,26049,755,48,2020-04-09
2020-04-10,Genesee,Michigan,26049,828,57,2020-04-10
2020-04-11,Genesee,Michigan,26049,919,62,2020-04-11
2020-04-12,Genesee,Michigan,26049,955,68,2020-04-12
2020-04-13,Genesee,Michigan,26049,988,77,2020-04-13
2020-04-14,Genesee,Michigan,26049,1030,86,2020-04-14
2020-04-15,Genesee,Michigan,26049,1084,89,2020-04-15
2020-04-16,Genesee,Michigan,26049,1147,99,2020-04-16
2020-04-17,Genesee,Michigan,26049,1197,106,2020-04-17
2020-04-18,Genesee,Michigan,26049,1228,112,2020-04-18
2020-04-19,Genesee,Michigan,26049,1240,115,2020-04-19
2020-04-20,Genesee,Michigan,26049,1256,123,2020-04-20
2020-04-21,Genesee,Michigan,26049,1298,131,2020-04-21
2020-04-22,Genesee,Michigan,26049,1362,138,2020-04-22
2020-04-23,Genesee,Michigan,26049,1387,144,2020-04-23
2020-04-24,Genesee,Michigan,26049,1434,151,2020-04-24
2020-04-25,Genesee,Michigan,26049,1452,157,2020-04-25
2020-04-26,Genesee,Michigan,26049,1467,161,2020-04-26
2020-04-27,Genesee,Michigan,26049,1483,165,2020-04-27
2020-04-28,Genesee,Michigan,26049,1533,174,2020-04-28
2020-04-29,Genesee,Michigan,26049,1564,180,2020-04-29
2020-04-30,Genesee,Michigan,26049,1581,188,2020-04-30
2020-05-01,Genesee,Michigan,26049,1600,192,2020-05-01
2020-05-02,Genesee,Michigan,26049,1620,196,2020-05-02
2020-05-03,Genesee,Michigan,26049,1634,196,2020-05-03
2020-05-04,Genesee,Michigan,26049,1647,199,2020-05-04
2020-05-05,Genesee,Michigan,26049,1668,200,2020-05-05
2020-05-06,Genesee,Michigan,26049,1710,208,2020-05-06
2020-05-07,Genesee,Michigan,26049,1731,213,2020-05-07
2020-05-08,Genesee,Michigan,26049,1739,214,2020-05-08
2020-05-09,Genesee,Michigan,26049,1750,223,2020-05-09
2020-05-10,Genesee,Michigan,26049,1758,224,2020-05-10
2020-05-11,Genesee,Michigan,26049,1765,224,2020-05-11
2020-05-12,Genesee,Michigan,26049,1782,225,2020-05-12
2020-05-13,Genesee,Michigan,26049,1784,227,2020-05-13
2020-05-14,Genesee,Michigan,26049,1813,228,2020-05-14
2020-05-15,Genesee,Michigan,26049,1835,229,2020-05-15
2020-05-16,Genesee,Michigan,26049,1845,230,2020-05-16
2020-05-17,Genesee,Michigan,26049,1866,230,2020-05-17
2020-05-18,Genesee,Michigan,26049,1869,231,2020-05-18
2020-05-19,Genesee,Michigan,26049,1891,235,2020-05-19
2020-05-20,Genesee,Michigan,26049,1915,238,2020-05-20
2020-05-21,Genesee,Michigan,26049,1926,240,2020-05-21
2020-05-22,Genesee,Michigan,26049,1929,240,2020-05-22
2020-05-23,Genesee,Michigan,26049,1936,240,2020-05-23
2020-05-24,Genesee,Michigan,26049,1948,240,2020-05-24
2020-05-25,Genesee,Michigan,26049,1961,242,2020-05-25
2020-05-26,Genesee,Michigan,26049,1964,245,2020-05-26
2020-05-27,Genesee,Michigan,26049,1971,247,2020-05-27
2020-05-28,Genesee,Michigan,26049,1983,249,2020-05-28
2020-05-29,Genesee,Michigan,26049,1998,250,2020-05-29
2020-05-30,Genesee,Michigan,26049,2004,252,2020-05-30
2020-05-31,Genesee,Michigan,26049,2013,252,2020-05-31
2020-06-01,Genesee,Michigan,26049,2015,252,2020-06-01
2020-06-02,Genesee,Michigan,26049,2021,252,2020-06-02
2020-06-03,Genesee,Michigan,26049,2049,252,2020-06-03
2020-06-04,Genesee,Michigan,26049,2046,253,2020-06-04
2020-06-05,Genesee,Michigan,26049,2511,279,2020-06-05
2020-06-06,Genesee,Michigan,26049,2525,280,2020-06-06
2020-06-07,Genesee,Michigan,26049,2544,280,2020-06-07
2020-06-08,Genesee,Michigan,26049,2546,280,2020-06-08
2020-06-09,Genesee,Michigan,26049,2552,281,2020-06-09
2020-06-10,Genesee,Michigan,26049,2558,282,2020-06-10
2020-06-11,Genesee,Michigan,26049,2564,283,2020-06-11
2020-06-12,Genesee,Michigan,26049,2566,281,2020-06-12
2020-06-13,Genesee,Michigan,26049,2573,283,2020-06-13
2020-06-14,Genesee,Michigan,26049,2574,282,2020-06-14
2020-06-15,Genesee,Michigan,26049,2583,282,2020-06-15
2020-06-16,Genesee,Michigan,26049,2589,283,2020-06-16
2020-06-17,Genesee,Michigan,26049,2596,283,2020-06-17
2020-06-18,Genesee,Michigan,26049,2605,283,2020-06-18
