date,county,state,fips,cases,deaths,date_rec
2020-03-16,Stafford,Virginia,51179,1,0,2020-03-16
2020-03-17,Stafford,Virginia,51179,1,0,2020-03-17
2020-03-18,Stafford,Virginia,51179,2,0,2020-03-18
2020-03-19,Stafford,Virginia,51179,2,0,2020-03-19
2020-03-20,Stafford,Virginia,51179,2,0,2020-03-20
2020-03-21,Stafford,Virginia,51179,2,0,2020-03-21
2020-03-22,Stafford,Virginia,51179,5,0,2020-03-22
2020-03-23,Stafford,Virginia,51179,6,0,2020-03-23
2020-03-24,Stafford,Virginia,51179,6,0,2020-03-24
2020-03-25,Stafford,Virginia,51179,6,0,2020-03-25
2020-03-26,Stafford,Virginia,51179,11,0,2020-03-26
2020-03-27,Stafford,Virginia,51179,11,0,2020-03-27
2020-03-28,Stafford,Virginia,51179,11,0,2020-03-28
2020-03-29,Stafford,Virginia,51179,13,0,2020-03-29
2020-03-30,Stafford,Virginia,51179,20,0,2020-03-30
2020-03-31,Stafford,Virginia,51179,24,0,2020-03-31
2020-04-01,Stafford,Virginia,51179,28,0,2020-04-01
2020-04-02,Stafford,Virginia,51179,28,0,2020-04-02
2020-04-03,Stafford,Virginia,51179,29,0,2020-04-03
2020-04-04,Stafford,Virginia,51179,38,0,2020-04-04
2020-04-05,Stafford,Virginia,51179,41,0,2020-04-05
2020-04-06,Stafford,Virginia,51179,43,0,2020-04-06
2020-04-07,Stafford,Virginia,51179,49,0,2020-04-07
2020-04-08,Stafford,Virginia,51179,48,0,2020-04-08
2020-04-09,Stafford,Virginia,51179,54,0,2020-04-09
2020-04-10,Stafford,Virginia,51179,60,0,2020-04-10
2020-04-11,Stafford,Virginia,51179,67,0,2020-04-11
2020-04-12,Stafford,Virginia,51179,72,1,2020-04-12
2020-04-13,Stafford,Virginia,51179,87,1,2020-04-13
2020-04-14,Stafford,Virginia,51179,95,1,2020-04-14
2020-04-15,Stafford,Virginia,51179,108,1,2020-04-15
2020-04-16,Stafford,Virginia,51179,120,1,2020-04-16
2020-04-17,Stafford,Virginia,51179,128,1,2020-04-17
2020-04-18,Stafford,Virginia,51179,143,1,2020-04-18
2020-04-19,Stafford,Virginia,51179,152,1,2020-04-19
2020-04-20,Stafford,Virginia,51179,161,1,2020-04-20
2020-04-21,Stafford,Virginia,51179,164,2,2020-04-21
2020-04-22,Stafford,Virginia,51179,170,2,2020-04-22
2020-04-23,Stafford,Virginia,51179,180,2,2020-04-23
2020-04-24,Stafford,Virginia,51179,193,2,2020-04-24
2020-04-25,Stafford,Virginia,51179,198,2,2020-04-25
2020-04-26,Stafford,Virginia,51179,213,2,2020-04-26
2020-04-27,Stafford,Virginia,51179,218,2,2020-04-27
2020-04-28,Stafford,Virginia,51179,221,2,2020-04-28
2020-04-29,Stafford,Virginia,51179,225,2,2020-04-29
2020-04-30,Stafford,Virginia,51179,240,2,2020-04-30
2020-05-01,Stafford,Virginia,51179,251,2,2020-05-01
2020-05-02,Stafford,Virginia,51179,262,2,2020-05-02
2020-05-03,Stafford,Virginia,51179,271,2,2020-05-03
2020-05-04,Stafford,Virginia,51179,288,2,2020-05-04
2020-05-05,Stafford,Virginia,51179,308,2,2020-05-05
2020-05-06,Stafford,Virginia,51179,308,2,2020-05-06
2020-05-07,Stafford,Virginia,51179,334,2,2020-05-07
2020-05-08,Stafford,Virginia,51179,344,2,2020-05-08
2020-05-09,Stafford,Virginia,51179,354,2,2020-05-09
2020-05-10,Stafford,Virginia,51179,374,2,2020-05-10
2020-05-11,Stafford,Virginia,51179,384,2,2020-05-11
2020-05-12,Stafford,Virginia,51179,396,4,2020-05-12
2020-05-13,Stafford,Virginia,51179,413,4,2020-05-13
2020-05-14,Stafford,Virginia,51179,426,4,2020-05-14
2020-05-15,Stafford,Virginia,51179,442,4,2020-05-15
2020-05-16,Stafford,Virginia,51179,458,4,2020-05-16
2020-05-17,Stafford,Virginia,51179,467,4,2020-05-17
2020-05-18,Stafford,Virginia,51179,484,4,2020-05-18
2020-05-19,Stafford,Virginia,51179,501,4,2020-05-19
2020-05-20,Stafford,Virginia,51179,514,4,2020-05-20
2020-05-21,Stafford,Virginia,51179,540,4,2020-05-21
2020-05-22,Stafford,Virginia,51179,552,4,2020-05-22
2020-05-23,Stafford,Virginia,51179,569,4,2020-05-23
2020-05-24,Stafford,Virginia,51179,581,4,2020-05-24
2020-05-25,Stafford,Virginia,51179,599,4,2020-05-25
2020-05-26,Stafford,Virginia,51179,642,4,2020-05-26
2020-05-27,Stafford,Virginia,51179,657,4,2020-05-27
2020-05-28,Stafford,Virginia,51179,672,4,2020-05-28
2020-05-29,Stafford,Virginia,51179,681,4,2020-05-29
2020-05-30,Stafford,Virginia,51179,702,4,2020-05-30
2020-05-31,Stafford,Virginia,51179,713,4,2020-05-31
2020-06-01,Stafford,Virginia,51179,722,5,2020-06-01
2020-06-02,Stafford,Virginia,51179,733,5,2020-06-02
2020-06-03,Stafford,Virginia,51179,738,5,2020-06-03
2020-06-04,Stafford,Virginia,51179,742,5,2020-06-04
2020-06-05,Stafford,Virginia,51179,750,5,2020-06-05
2020-06-06,Stafford,Virginia,51179,765,5,2020-06-06
2020-06-07,Stafford,Virginia,51179,803,5,2020-06-07
2020-06-08,Stafford,Virginia,51179,815,5,2020-06-08
2020-06-09,Stafford,Virginia,51179,824,5,2020-06-09
2020-06-10,Stafford,Virginia,51179,831,5,2020-06-10
2020-06-11,Stafford,Virginia,51179,841,5,2020-06-11
2020-06-12,Stafford,Virginia,51179,862,5,2020-06-12
2020-06-13,Stafford,Virginia,51179,877,5,2020-06-13
2020-06-14,Stafford,Virginia,51179,887,5,2020-06-14
2020-06-15,Stafford,Virginia,51179,893,5,2020-06-15
2020-06-16,Stafford,Virginia,51179,900,5,2020-06-16
2020-06-17,Stafford,Virginia,51179,906,5,2020-06-17
2020-06-18,Stafford,Virginia,51179,917,5,2020-06-18
2020-06-19,Stafford,Virginia,51179,921,5,2020-06-19
2020-06-20,Stafford,Virginia,51179,920,5,2020-06-20
2020-06-21,Stafford,Virginia,51179,924,5,2020-06-21
2020-06-22,Stafford,Virginia,51179,930,5,2020-06-22
